latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
35.12667,127.97239,305.04,1.35,1.15,2025-03-09,0518,Aqua,MODIS,41,6.1NRT,289.73,10.28,D
35.12608,127.96316,301.13,1.35,1.15,2025-03-09,0518,Aqua,MODIS,39,6.1NRT,288.15,6.88,D
35.12859,127.9771,305.93,1.35,1.15,2025-03-09,0518,Aqua,MODIS,62,6.1NRT,289.43,11.24,D
35.09748,128.20554,300.82,1.31,1.14,2025-03-09,0518,Aqua,MODIS,28,6.1NRT,290.28,5.52,D
35.10003,128.21945,305.82,1.31,1.13,2025-03-09,0518,Aqua,MODIS,60,6.1NRT,289.88,9.96,D
35.93373,128.81528,305.58,1.19,1.08,2025-03-09,0518,Aqua,MODIS,46,6.1NRT,294.4,7.38,D
37.00822,127.58771,302.45,1.3,1.13,2025-03-09,0521,Aqua,MODIS,51,6.1NRT,289.13,7.08,D
37.48116,129.04982,300.52,1,1,2025-03-10,0120,Terra,MODIS,38,6.1NRT,286.52,6.02,D
36.98256,126.69721,301.08,1.06,1.03,2025-03-10,0120,Terra,MODIS,24,6.1NRT,281.63,5.65,D
36.98108,126.70885,305.66,1.06,1.03,2025-03-10,0120,Terra,MODIS,60,6.1NRT,283.61,8.83,D
35.44433,129.34578,304.96,1.03,1.01,2025-03-10,0120,Terra,MODIS,0,6.1NRT,284.2,7.1,D
35.24354,128.15137,301.46,1,1,2025-03-10,0120,Terra,MODIS,45,6.1NRT,284.46,5.04,D
37.3325,126.72282,302.83,2.23,1.45,2025-03-11,0158,Terra,MODIS,0,6.1NRT,289.36,14.4,D
35.51964,128.46355,304.05,2.5,1.52,2025-03-11,0501,Aqua,MODIS,48,6.1NRT,292.37,18.55,D
35.24325,128.13789,305.46,2.66,1.57,2025-03-11,0501,Aqua,MODIS,61,6.1NRT,292.67,24.28,D
35.45338,129.02559,301.19,1.06,1.03,2025-03-12,0540,Aqua,MODIS,42,6.1NRT,286.72,4.07,D
35.45189,129.0143,312.19,1.06,1.03,2025-03-12,0540,Aqua,MODIS,72,6.1NRT,287.36,11.94,D
35.1432,128.85603,309.25,1.24,1.11,2025-03-14,0521,Aqua,MODIS,40,6.1NRT,293.93,9.16,D
35.09949,128.21342,305.45,1.34,1.15,2025-03-14,0521,Aqua,MODIS,38,6.1NRT,292.94,7.22,D
35.12799,127.97477,309.88,1.38,1.16,2025-03-14,0521,Aqua,MODIS,60,6.1NRT,293.02,13.77,D
35.67635,128.95602,301.64,1.21,1.09,2025-03-14,0521,Aqua,MODIS,48,6.1NRT,288.75,6.6,D
35.67422,128.9438,310.69,1.21,1.09,2025-03-14,0521,Aqua,MODIS,70,6.1NRT,287.16,14.01,D
35.6353,128.42151,309.38,1.28,1.12,2025-03-14,0521,Aqua,MODIS,54,6.1NRT,297.64,7.07,D
35.89473,129.084,300.1,1.18,1.08,2025-03-14,0521,Aqua,MODIS,19,6.1NRT,288.65,4.37,D
35.86009,128.82619,309.12,1.21,1.1,2025-03-14,0521,Aqua,MODIS,46,6.1NRT,295.22,7.15,D
35.8632,128.81883,307.93,1.21,1.1,2025-03-14,0521,Aqua,MODIS,44,6.1NRT,294.83,5.65,D
36.00434,128.50867,308.8,1.25,1.11,2025-03-14,0521,Aqua,MODIS,68,6.1NRT,291.32,11.16,D
36.09401,128.37886,314.64,1.26,1.12,2025-03-14,0521,Aqua,MODIS,0,6.1NRT,298.84,10.5,D
35.97889,126.9049,306.79,1.53,1.22,2025-03-14,0521,Aqua,MODIS,63,6.1NRT,293.38,8.15,D
35.98215,126.89902,304.38,1.53,1.22,2025-03-14,0521,Aqua,MODIS,56,6.1NRT,293.35,5.88,D
37.48203,129.04626,300.26,1.13,1.06,2025-03-14,0521,Aqua,MODIS,30,6.1NRT,287.8,5.45,D
37.14963,127.00951,305.57,1.42,1.18,2025-03-14,0521,Aqua,MODIS,52,6.1NRT,291.96,5.57,D
36.65081,127.38763,300.75,1.01,1,2025-03-15,0122,Terra,MODIS,39,6.1NRT,286.33,3.96,D
36.98313,126.70599,302.62,1.7,1.28,2025-03-17,0102,Terra,MODIS,0,6.1NRT,286.57,13.42,D
35.16576,127.92899,301.58,1,1,2025-03-17,0540,Aqua,MODIS,36,6.1NRT,287.99,4.9,D
35.08499,128.96407,304,1.26,1.12,2025-03-19,0518,Aqua,MODIS,0,6.1NRT,290.97,7.16,D
35.13346,127.97223,301.18,1.42,1.18,2025-03-19,0518,Aqua,MODIS,39,6.1NRT,284.84,10.02,D
35.67896,128.455,305.61,1.31,1.13,2025-03-19,0518,Aqua,MODIS,25,6.1NRT,292.22,9.27,D
35.85981,128.82497,312,1.24,1.11,2025-03-19,0518,Aqua,MODIS,65,6.1NRT,290.81,12.82,D
35.8602,128.53712,305.45,1.29,1.13,2025-03-19,0518,Aqua,MODIS,38,6.1NRT,290.13,7,D
35.93286,128.82722,303.4,1.24,1.11,2025-03-19,0518,Aqua,MODIS,11,6.1NRT,289.81,5.67,D
36.00959,128.50526,313.32,1.28,1.12,2025-03-19,0518,Aqua,MODIS,74,6.1NRT,284.95,20.29,D
35.98529,128.25745,302.79,1.32,1.14,2025-03-19,0518,Aqua,MODIS,18,6.1NRT,287.73,7.8,D
36.03053,128.39096,302.03,1.3,1.13,2025-03-19,0518,Aqua,MODIS,0,6.1NRT,287.05,6.83,D
