grid_id,road_dens_km_km2
4607454,0.792
4607455,0.792
4607456,1.043
4607457,0.667
4607458,0.822
4607459,0.337
4607460,0.368
4607461,0.488
4607462,0.672
4607463,0.521
4607464,0.854
4607465,1.413
4607466,1.484
4607467,0.873
4607468,0.73
4607469,0.518
4607470,0.765
4607471,0.415
4607472,0.402
4607473,0.192
4607474,0.211
4607475,0.342
4607476,0.473
4607477,0.803
4607478,0.318
4607479,0.031
4607480,0.256
4607481,0.136
4607482,0.249
4607483,0.387
4607484,0.231
4607485,0.244
4607486,0.393
4607487,0.526
4607488,0.344
4607489,0.102
4603845,0.0
4603846,0.066
4603847,0.1
4603848,0.0
4603849,0.002
4603850,0.226
4603851,0.307
4603852,0.377
4603853,0.515
4603854,0.536
4603855,0.856
4603856,0.698
4603857,0.21
4603858,0.286
4603859,0.288
4603860,0.329
4603861,0.796
4603862,0.442
4603863,0.368
4603864,0.429
4603865,0.621
4603866,0.721
4603867,1.75
4603868,1.256
4603869,0.7
4603870,1.125
4603871,0.652
4603872,0.387
4603873,0.283
4603874,0.15
4603875,0.791
4603876,0.705
4603877,1.227
4603878,0.449
4603879,0.193
4603880,0.289
4603881,0.231
4603882,0.29
4603883,0.266
4603884,0.11
4603885,0.208
4603886,0.221
4603887,0.592
4603888,1.937
4603889,1.129
4603890,0.0
4600245,0.0
4600246,0.064
4600247,0.096
4600248,0.0
4600249,0.006
4600250,0.238
4600251,0.315
4600252,0.156
4600253,0.316
4600254,0.538
4600255,0.359
4600256,0.291
4600257,0.09
4600258,0.108
4600259,0.059
4600260,0.118
4600261,0.332
4600262,0.301
4600263,0.557
4600264,0.567
4600265,0.46
4600266,1.016
4600267,2.204
4600268,1.563
4600269,0.908
4600270,2.322
4600271,0.888
4600272,0.503
4600273,0.477
4600274,0.574
4600275,1.016
4600276,0.726
4600277,0.727
4600278,0.765
4600279,0.52
4600280,0.311
4600281,0.304
4600282,0.225
4600283,0.236
4600284,0.182
4600285,0.099
4600286,0.37
4600287,0.613
4600288,2.791
4600289,2.413
4600290,0.263
4600291,0.0
4596645,0.0
4596646,0.0
4596647,0.0
4596648,0.0
4596650,0.005
4596651,0.027
4596652,0.027
4596653,0.111
4596654,0.274
4596655,0.0
4596656,0.113
4596657,0.169
4596658,0.0
4596659,0.0
4596660,0.0
4596661,0.033
4596662,0.102
4596663,0.305
4596664,0.664
4596665,0.628
4596666,1.718
4596667,3.901
4596668,3.759
4596669,4.153
4596670,11.788
4596671,3.284
4596672,1.656
4596673,1.072
4596674,0.928
4596675,0.544
4596676,0.54
4596677,0.463
4596678,0.573
4596679,0.415
4596680,0.234
4596681,0.173
4596682,0.132
4596683,0.488
4596684,0.481
4596685,0.433
4596686,0.328
4596687,0.53
4596688,0.901
4596689,0.723
4596690,0.804
4596691,0.126
4596692,0.0
4593050,0.0
4593051,0.0
4593052,0.0
4593053,0.0
4593054,0.0
4593055,0.0
4593056,0.02
4593057,0.03
4593058,0.0
4593060,0.0
4593061,0.015
4593062,0.113
4593063,0.252
4593064,0.567
4593065,1.066
4593066,4.386
4593067,7.036
4593068,9.523
4593069,11.751
4593070,17.729
4593071,8.2
4593072,2.023
4593073,0.711
4593074,0.923
4593075,0.327
4593076,0.672
4593077,0.437
4593078,0.31
4593079,1.069
4593080,0.821
4593081,0.42
4593082,0.47
4593083,0.638
4593084,0.463
4593085,0.278
4593086,0.211
4593087,0.288
4593088,0.348
4593089,0.291
4593090,0.572
4593091,0.884
4593092,0.0
4593106,0.0
4593107,0.134
4593108,0.374
4593109,0.074
4589463,0.784
4589464,1.746
4589465,1.916
4589466,5.44
4589467,5.377
4589468,6.39
4589469,7.34
4589470,6.393
4589471,6.254
4589472,1.385
4589473,0.689
4589474,0.727
4589475,0.937
4589476,0.57
4589477,0.317
4589478,0.8
4589479,3.336
4589480,1.199
4589481,0.595
4589482,0.373
4589483,0.351
4589484,0.489
4589485,0.146
4589486,0.467
4589487,0.351
4589488,0.337
4589489,0.097
4589490,0.55
4589491,1.616
4589492,0.717
4589493,0.0
4589494,0.0
4589506,0.0
4589507,0.085
4589508,0.227
4589509,0.051
4585860,0.0
4585861,0.0
4585862,0.0
4585863,0.102
4585864,0.183
4585865,1.738
4585866,4.788
4585867,3.451
4585868,4.086
4585869,7.235
4585870,4.504
4585871,4.185
4585872,1.322
4585873,0.783
4585874,0.707
4585875,1.002
4585876,0.776
4585877,0.479
4585878,1.368
4585879,3.888
4585880,0.194
4585881,0.216
4585882,0.16
4585883,0.327
4585884,0.242
4585885,0.147
4585886,0.433
4585887,0.448
4585888,0.385
4585889,0.306
4585890,0.365
4585891,0.391
4585892,0.538
4585893,0.206
4585894,0.06
4585907,0.0
4585908,0.0
4585909,0.0
4585917,0.0
4585918,0.0
4585919,0.0
4582258,0.0
4582259,0.0
4582260,0.0
4582261,0.0
4582262,0.0
4582263,0.0
4582264,0.043
4582265,0.572
4582266,1.27
4582267,1.842
4582268,3.177
4582269,3.867
4582270,6.219
4582271,2.621
4582272,0.97
4582273,0.837
4582274,1.196
4582275,0.946
4582276,1.107
4582277,0.525
4582278,0.596
4582279,0.92
4582280,0.294
4582281,0.279
4582282,0.306
4582283,0.539
4582284,0.767
4582285,0.299
4582286,0.353
4582287,0.564
4582288,0.56
4582289,0.526
4582290,0.427
4582291,0.148
4582292,0.606
4582293,0.783
4582294,0.65
4582317,0.0
4582318,0.0
4582319,0.0
4578658,0.0
4578659,0.0
4578660,0.0
4578661,0.0
4578662,0.0
4578663,0.0
4578664,0.0
4578665,0.227
4578666,0.389
4578667,0.738
4578668,1.255
4578669,1.723
4578670,3.167
4578671,1.239
4578672,0.762
4578673,0.538
4578674,0.919
4578675,0.77
4578676,1.099
4578677,0.533
4578678,0.624
4578679,0.501
4578680,0.567
4578681,0.802
4578682,0.55
4578683,0.521
4578684,0.731
4578685,0.394
4578686,0.398
4578687,0.422
4578688,0.425
4578689,0.553
4578690,0.623
4578691,0.344
4578692,0.374
4578693,0.886
4578694,0.253
4578717,0.0
4578718,0.0
4578719,0.0
4575058,0.0
4575059,0.0
4575060,0.0
4575061,0.0
4575062,0.0
4575063,0.051
4575064,0.391
4575065,2.522
4575066,0.591
4575067,0.447
4575068,0.999
4575069,1.288
4575070,2.537
4575071,1.735
4575072,1.38
4575073,0.847
4575074,0.758
4575075,0.495
4575076,0.999
4575077,1.126
4575078,1.539
4575079,1.339
4575080,0.582
4575081,0.947
4575082,0.817
4575083,0.539
4575084,0.489
4575085,0.228
4575086,0.28
4575087,0.254
4575088,0.151
4575089,0.183
4575090,0.346
4575091,0.133
4575092,0.183
4575093,0.887
4575094,0.353
4571459,0.0
4571460,0.0
4571461,0.009
4571462,0.085
4571463,0.222
4571464,0.42
4571465,4.562
4571466,4.764
4571467,3.525
4571468,1.672
4571469,0.825
4571470,2.248
4571471,2.365
4571472,1.518
4571473,0.66
4571474,1.346
4571475,0.81
4571476,0.907
4571477,0.761
4571478,1.323
4571479,2.281
4571480,0.246
4571481,0.51
4571482,0.534
4571483,1.002
4571484,0.35
4571485,0.333
4571486,0.376
4571487,0.271
4571488,0.329
4571489,0.453
4571490,0.223
4571491,0.239
4571492,0.277
4571493,0.809
4571494,0.375
4567860,0.02
4567861,0.099
4567862,0.242
4567863,0.22
4567864,0.954
4567865,3.341
4567866,4.966
4567867,5.356
4567868,2.301
4567869,1.377
4567870,2.347
4567871,3.699
4567872,1.658
4567873,0.838
4567874,1.105
4567875,0.73
4567876,0.667
4567877,0.571
4567878,0.664
4567879,1.023
4567880,0.487
4567881,0.363
4567882,0.332
4567883,0.394
4567884,0.505
4567885,0.812
4567886,0.694
4567887,0.633
4567888,0.492
4567889,0.404
4567890,0.174
4567891,0.18
4567892,0.239
4567893,0.309
4567894,0.59
4567895,0.0
4564259,0.0
4564260,0.024
4564261,0.165
4564262,0.321
4564263,0.372
4564264,0.83
4564265,1.01
4564266,1.597
4564267,3.111
4564268,1.998
4564269,1.206
4564270,2.349
4564271,3.248
4564272,1.64
4564273,1.492
4564274,2.054
4564275,1.207
4564276,0.695
4564277,0.713
4564278,0.587
4564279,0.632
4564280,0.682
4564281,0.639
4564282,0.308
4564283,0.335
4564284,0.446
4564285,0.79
4564286,0.781
4564287,0.391
4564288,0.255
4564289,0.274
4564290,0.185
4564291,0.361
4564292,0.243
4564293,0.266
4564294,0.973
4564295,0.0
4560659,0.0
4560660,0.007
4560661,0.047
4560662,0.183
4560663,0.285
4560664,0.205
4560665,0.797
4560666,0.77
4560667,1.234
4560668,1.263
4560669,0.532
4560670,0.618
4560671,1.077
4560672,1.208
4560673,1.851
4560674,6.457
4560675,1.318
4560676,0.556
4560677,0.649
4560678,0.4
4560679,0.204
4560680,0.513
4560681,1.074
4560682,0.831
4560683,0.688
4560684,0.759
4560685,1.158
4560686,1.071
4560687,0.688
4560688,0.318
4560689,0.223
4560690,0.312
4560691,0.519
4560692,0.285
4560693,0.29
4560694,0.568
4560695,0.0
4557060,0.0
4557061,0.0
4557062,0.173
4557063,0.331
4557064,0.226
4557065,0.506
4557066,0.531
4557067,0.452
4557068,0.384
4557069,0.701
4557070,0.575
4557071,1.2
4557072,1.921
4557073,1.953
4557074,3.114
4557075,1.34
4557076,0.759
4557077,1.043
4557078,0.35
4557079,0.234
4557080,0.352
4557081,0.867
4557082,0.882
4557083,0.548
4557084,0.535
4557085,1.084
4557086,1.796
4557087,2.26
4557088,0.776
4557089,0.525
4557090,0.431
4557091,0.336
4557092,0.222
4557093,0.426
4557094,0.184
4557095,0.0
4553461,0.0
4553462,0.0
4553463,0.161
4553464,0.064
4553465,0.775
4553466,0.674
4553467,0.655
4553468,0.6
4553469,0.468
4553470,1.542
4553471,2.889
4553472,3.024
4553473,3.859
4553474,3.439
4553475,0.779
4553476,1.436
4553477,1.978
4553478,0.922
4553479,0.607
4553480,0.583
4553481,1.055
4553482,0.932
4553483,0.449
4553484,0.335
4553485,0.62
4553486,0.958
4553487,0.56
4553488,0.524
4553489,0.375
4553490,0.339
4553491,0.223
4553492,0.206
4553493,0.485
4553494,0.308
4549858,0.0
4549859,0.0
4549860,0.0
4549861,0.0
4549862,0.0
4549863,0.046
4549864,0.072
4549865,0.961
4549866,0.447
4549867,0.363
4549868,0.924
4549869,1.127
4549870,1.17
4549871,1.07
4549872,2.728
4549873,6.981
4549874,6.117
4549875,1.638
4549876,1.113
4549877,0.913
4549878,0.361
4549879,0.361
4549880,0.472
4549881,0.904
4549882,0.749
4549883,0.481
4549884,0.508
4549885,0.516
4549886,0.497
4549887,0.504
4549888,0.326
4549889,0.419
4549890,0.392
4549891,0.374
4549892,0.302
4549893,0.587
4549894,0.192
4546258,0.0
4546259,0.0
4546260,0.0
4546261,0.0
4546262,0.0
4546263,0.033
4546264,0.006
4546265,0.806
4546266,0.456
4546267,0.529
4546268,1.062
4546269,0.874
4546270,1.965
4546271,2.035
4546272,2.122
4546273,3.551
4546274,3.65
4546275,1.924
4546276,1.174
4546277,0.951
4546278,0.591
4546279,0.452
4546280,0.432
4546281,0.55
4546282,0.647
4546283,0.701
4546284,0.457
4546285,0.736
4546286,0.399
4546287,0.361
4546288,0.306
4546289,0.297
4546290,0.231
4546291,0.262
4546292,0.276
4546293,0.399
4546294,0.084
4542658,0.0
4542659,0.0
4542660,0.0
4542661,0.0
4542662,0.0
4542663,0.0
4542664,0.015
4542665,0.603
4542666,0.604
4542667,0.644
4542668,0.921
4542669,1.705
4542670,1.82
4542671,1.873
4542672,1.09
4542673,0.996
4542674,2.148
4542675,1.145
4542676,0.623
4542677,0.587
4542678,0.426
4542679,0.38
4542680,0.736
4542681,1.197
4542682,1.035
4542683,1.438
4542684,0.945
4542685,0.686
4542686,0.313
4542687,0.438
4542688,0.371
4542689,0.297
4542690,0.233
4542691,0.247
4542692,0.2
4542693,0.525
4542694,0.285
4542695,0.0
4542696,0.0
4539058,0.0
4539059,0.0
4539060,0.0
4539063,0.0
4539064,0.004
4539065,0.114
4539066,0.594
4539067,1.524
4539068,2.326
4539069,3.858
4539070,1.252
4539071,1.22
4539072,0.691
4539073,0.508
4539074,0.887
4539075,1.076
4539076,0.778
4539077,0.562
4539078,0.267
4539079,0.313
4539080,0.403
4539081,0.528
4539082,0.605
4539083,1.065
4539084,0.747
4539085,0.678
4539086,0.377
4539087,0.468
4539088,0.893
4539089,0.668
4539090,0.598
4539091,0.427
4539092,0.871
4539093,2.2
4539094,0.605
4539095,0.28
4539096,0.0
4535462,0.0
4535463,0.0
4535464,0.027
4535465,2.011
4535466,2.795
4535467,4.672
4535468,3.784
4535469,5.221
4535470,2.551
4535471,2.816
4535472,1.049
4535473,0.558
4535474,0.713
4535475,0.791
4535476,1.11
4535477,0.447
4535478,0.571
4535479,0.41
4535480,0.331
4535481,0.485
4535482,1.06
4535483,1.748
4535484,2.104
4535485,3.506
4535486,1.905
4535487,1.101
4535488,1.455
4535489,1.433
4535490,0.593
4535491,0.788
4535492,1.218
4535493,1.341
4535494,0.678
4535495,0.387
4535496,0.0
4531862,0.0
4531863,0.054
4531864,0.235
4531865,0.634
4531866,0.774
4531867,1.776
4531868,3.856
4531869,3.656
4531870,4.508
4531871,5.378
4531872,1.566
4531873,0.799
4531874,1.084
4531875,1.152
4531876,1.212
4531877,0.59
4531878,0.505
4531879,0.43
4531880,0.224
4531881,0.3
4531882,0.656
4531883,1.429
4531884,2.138
4531885,6.882
4531886,5.344
4531887,2.484
4531888,1.708
4531889,0.716
4531890,0.833
4531891,1.452
4531892,1.751
4531893,0.698
4531894,0.366
4531895,0.358
4528260,0.0
4528261,0.0
4528262,0.0
4528263,0.081
4528264,0.214
4528265,0.454
4528266,1.813
4528267,3.147
4528268,3.553
4528269,3.101
4528270,2.305
4528271,3.385
4528272,1.075
4528273,1.052
4528274,1.137
4528275,1.449
4528276,1.133
4528277,0.37
4528278,1.082
4528279,1.296
4528280,0.614
4528281,0.563
4528282,0.614
4528283,0.921
4528284,1.607
4528285,1.153
4528286,0.995
4528287,1.15
4528288,0.706
4528289,0.401
4528290,0.355
4528291,0.699
4528292,0.982
4528293,0.781
4528294,0.695
4528295,0.22
4524660,0.0
4524661,0.0
4524662,0.145
4524663,0.081
4524664,0.403
4524665,0.75
4524666,1.959
4524667,2.347
4524668,1.944
4524669,2.044
4524670,1.084
4524671,1.286
4524672,1.2
4524673,1.268
4524674,0.723
4524675,1.489
4524676,0.784
4524677,0.742
4524678,1.182
4524679,1.282
4524680,0.826
4524681,0.7
4524682,0.687
4524683,0.625
4524684,1.31
4524685,0.25
4524686,0.443
4524687,0.582
4524688,0.384
4524689,0.261
4524690,0.64
4524691,0.72
4524692,0.677
4524693,0.984
4524694,0.945
4524695,0.0
4521060,0.0
4521061,0.0
4521062,0.099
4521063,0.066
4521064,0.147
4521065,0.419
4521066,1.086
4521067,1.532
4521068,2.003
4521069,1.019
4521070,1.058
4521071,1.177
4521072,1.342
4521073,1.457
4521074,0.689
4521075,0.904
4521076,0.964
4521077,1.533
4521078,1.005
4521079,0.583
4521080,0.72
4521081,0.741
4521082,0.523
4521083,0.478
4521084,0.989
4521085,0.609
4521086,0.985
4521087,0.759
4521088,0.756
4521089,0.321
4521090,0.736
4521091,1.936
4521092,3.155
4521093,3.609
4521094,1.52
4521095,0.0
4517459,0.0
4517460,0.0
4517461,0.0
4517462,0.0
4517463,0.056
4517464,0.402
4517465,0.839
4517466,1.358
4517467,1.47
4517468,0.672
4517469,0.923
4517470,0.891
4517471,1.207
4517472,0.968
4517473,1.69
4517474,1.49
4517475,1.904
4517476,0.861
4517477,0.659
4517478,0.981
4517479,0.434
4517480,0.461
4517481,0.474
4517482,0.54
4517483,0.759
4517484,0.783
4517485,1.154
4517486,1.105
4517487,1.081
4517488,0.652
4517489,0.45
4517490,0.814
4517491,0.665
4517492,1.203
4517493,1.658
4517494,1.515
4513859,0.0
4513860,0.0
4513861,0.0
4513862,0.0
4513863,0.289
4513864,0.808
4513865,1.136
4513866,0.995
4513867,1.242
4513868,1.217
4513869,1.304
4513870,1.099
4513871,1.527
4513872,1.151
4513873,1.562
4513874,1.304
4513875,0.462
4513876,0.365
4513877,0.299
4513878,0.678
4513879,0.92
4513880,0.581
4513881,0.716
4513882,0.614
4513883,0.598
4513884,1.129
4513885,1.198
4513886,1.464
4513887,1.184
4513888,0.903
4513889,0.843
4513890,1.952
4513891,1.101
4513892,0.946
4513893,0.733
4513894,0.577
4510258,0.0
4510259,0.0
4510260,0.0
4510261,0.0
4510262,0.08
4510263,0.366
4510264,0.812
4510265,1.05
4510266,0.825
4510267,1.942
4510268,3.974
4510269,3.007
4510270,0.924
4510271,0.757
4510272,0.581
4510273,0.628
4510274,1.561
4510275,0.431
4510276,0.572
4510277,0.555
4510278,0.576
4510279,1.053
4510280,1.404
4510281,1.077
4510282,0.857
4510283,0.676
4510284,0.882
4510285,2.125
4510286,2.849
4510287,2.476
4510288,2.633
4510289,2.789
4510290,4.397
4510291,3.783
4510292,1.117
4510293,0.136
4510294,0.0
4506658,0.0
4506659,0.0
