acq_date,grid_id,t2m,td2m,10u,10v,tp
2024-05-01,4431090,288.6788,284.2886,-6.0007396,-9.065549,0.03490139
2024-05-01,4431095,288.06485,284.27063,-3.093228,-6.3660045,0.019720532
2024-05-01,4431096,287.75717,284.1382,-2.5594552,-5.3253956,0.03217776
2024-05-01,4431096,287.75717,284.1382,-2.5594552,-5.3253956,0.021382835
2024-05-01,4431096,287.75717,284.1382,-2.5594552,-6.0697803,0.03217776
2024-05-01,4431096,287.75717,284.1382,-2.5594552,-6.0697803,0.021382835
2024-05-01,4431096,287.75717,284.1382,-2.8858712,-5.3253956,0.03217776
2024-05-01,4431096,287.75717,284.1382,-2.8858712,-5.3253956,0.021382835
2024-05-01,4431096,287.75717,284.1382,-2.8858712,-6.0697803,0.03217776
2024-05-01,4431096,287.75717,284.1382,-2.8858712,-6.0697803,0.021382835
2024-05-01,4431096,287.75717,284.32834,-2.5594552,-5.3253956,0.03217776
2024-05-01,4431096,287.75717,284.32834,-2.5594552,-5.3253956,0.021382835
2024-05-01,4431096,287.75717,284.32834,-2.5594552,-6.0697803,0.03217776
2024-05-01,4431096,287.75717,284.32834,-2.5594552,-6.0697803,0.021382835
2024-05-01,4431096,287.75717,284.32834,-2.8858712,-5.3253956,0.03217776
2024-05-01,4431096,287.75717,284.32834,-2.8858712,-5.3253956,0.021382835
2024-05-01,4431096,287.75717,284.32834,-2.8858712,-6.0697803,0.03217776
2024-05-01,4431096,287.75717,284.32834,-2.8858712,-6.0697803,0.021382835
2024-05-01,4431096,288.03476,284.1382,-2.5594552,-5.3253956,0.03217776
2024-05-01,4431096,288.03476,284.1382,-2.5594552,-5.3253956,0.021382835
2024-05-01,4431096,288.03476,284.1382,-2.5594552,-6.0697803,0.03217776
2024-05-01,4431096,288.03476,284.1382,-2.5594552,-6.0697803,0.021382835
2024-05-01,4431096,288.03476,284.1382,-2.8858712,-5.3253956,0.03217776
2024-05-01,4431096,288.03476,284.1382,-2.8858712,-5.3253956,0.021382835
2024-05-01,4431096,288.03476,284.1382,-2.8858712,-6.0697803,0.03217776
2024-05-01,4431096,288.03476,284.1382,-2.8858712,-6.0697803,0.021382835
2024-05-01,4431096,288.03476,284.32834,-2.5594552,-5.3253956,0.03217776
2024-05-01,4431096,288.03476,284.32834,-2.5594552,-5.3253956,0.021382835
2024-05-01,4431096,288.03476,284.32834,-2.5594552,-6.0697803,0.03217776
2024-05-01,4431096,288.03476,284.32834,-2.5594552,-6.0697803,0.021382835
2024-05-01,4431096,288.03476,284.32834,-2.8858712,-5.3253956,0.03217776
2024-05-01,4431096,288.03476,284.32834,-2.8858712,-5.3253956,0.021382835
2024-05-01,4431096,288.03476,284.32834,-2.8858712,-6.0697803,0.03217776
2024-05-01,4431096,288.03476,284.32834,-2.8858712,-6.0697803,0.021382835
2024-05-01,4431097,287.51968,284.28763,-2.1549141,-4.752072,0.036197398
2024-05-01,4431097,287.51968,284.28763,-2.1549141,-4.752072,0.023873856
2024-05-01,4431097,287.51968,284.28763,-2.1549141,-5.729652,0.036197398
2024-05-01,4431097,287.51968,284.28763,-2.1549141,-5.729652,0.023873856
2024-05-01,4431097,287.51968,284.28763,-2.6272042,-4.752072,0.036197398
2024-05-01,4431097,287.51968,284.28763,-2.6272042,-4.752072,0.023873856
2024-05-01,4431097,287.51968,284.28763,-2.6272042,-5.729652,0.036197398
2024-05-01,4431097,287.51968,284.28763,-2.6272042,-5.729652,0.023873856
2024-05-01,4431097,287.51968,284.39685,-2.1549141,-4.752072,0.036197398
2024-05-01,4431097,287.51968,284.39685,-2.1549141,-4.752072,0.023873856
2024-05-01,4431097,287.51968,284.39685,-2.1549141,-5.729652,0.036197398
2024-05-01,4431097,287.51968,284.39685,-2.1549141,-5.729652,0.023873856
2024-05-01,4431097,287.51968,284.39685,-2.6272042,-4.752072,0.036197398
2024-05-01,4431097,287.51968,284.39685,-2.6272042,-4.752072,0.023873856
2024-05-01,4431097,287.51968,284.39685,-2.6272042,-5.729652,0.036197398
2024-05-01,4431097,287.51968,284.39685,-2.6272042,-5.729652,0.023873856
2024-05-01,4431097,287.99316,284.28763,-2.1549141,-4.752072,0.036197398
2024-05-01,4431097,287.99316,284.28763,-2.1549141,-4.752072,0.023873856
2024-05-01,4431097,287.99316,284.28763,-2.1549141,-5.729652,0.036197398
2024-05-01,4431097,287.99316,284.28763,-2.1549141,-5.729652,0.023873856
2024-05-01,4431097,287.99316,284.28763,-2.6272042,-4.752072,0.036197398
2024-05-01,4431097,287.99316,284.28763,-2.6272042,-4.752072,0.023873856
2024-05-01,4431097,287.99316,284.28763,-2.6272042,-5.729652,0.036197398
2024-05-01,4431097,287.99316,284.28763,-2.6272042,-5.729652,0.023873856
2024-05-01,4431097,287.99316,284.39685,-2.1549141,-4.752072,0.036197398
2024-05-01,4431097,287.99316,284.39685,-2.1549141,-4.752072,0.023873856
2024-05-01,4431097,287.99316,284.39685,-2.1549141,-5.729652,0.036197398
2024-05-01,4431097,287.99316,284.39685,-2.1549141,-5.729652,0.023873856
2024-05-01,4431097,287.99316,284.39685,-2.6272042,-4.752072,0.036197398
2024-05-01,4431097,287.99316,284.39685,-2.6272042,-4.752072,0.023873856
2024-05-01,4431097,287.99316,284.39685,-2.6272042,-5.729652,0.036197398
2024-05-01,4431097,287.99316,284.39685,-2.6272042,-5.729652,0.023873856
2024-05-01,4431098,287.23276,284.28366,-1.7367827,-4.195309,0.039890952
2024-05-01,4431099,287.0836,284.14148,-1.418993,-4.149818,0.042260297
2024-05-01,4431099,287.0836,284.14148,-1.418993,-4.149818,0.031222861
2024-05-01,4431099,287.0836,284.14148,-1.418993,-4.8892384,0.042260297
2024-05-01,4431099,287.0836,284.14148,-1.418993,-4.8892384,0.031222861
2024-05-01,4431099,287.0836,284.14148,-1.7263254,-4.149818,0.042260297
2024-05-01,4431099,287.0836,284.14148,-1.7263254,-4.149818,0.031222861
2024-05-01,4431099,287.0836,284.14148,-1.7263254,-4.8892384,0.042260297
2024-05-01,4431099,287.0836,284.14148,-1.7263254,-4.8892384,0.031222861
2024-05-01,4431099,287.0836,284.2205,-1.418993,-4.149818,0.042260297
2024-05-01,4431099,287.0836,284.2205,-1.418993,-4.149818,0.031222861
2024-05-01,4431099,287.0836,284.2205,-1.418993,-4.8892384,0.042260297
2024-05-01,4431099,287.0836,284.2205,-1.418993,-4.8892384,0.031222861
2024-05-01,4431099,287.0836,284.2205,-1.7263254,-4.149818,0.042260297
